Title,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Pac-Man,2600,Atari,7.28,0.45,0,0.08,7.81
Kinect Sports,X360,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
Metal Gear Solid,PS,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
Monster Hunter Freedom Unite,PSP,Capcom,0.47,0.57,4.13,0.34,5.5
The Simpsons: Hit & Run,PS2,Vivendi Games,1.73,2.19,0,0.79,4.7
Batman: Arkham Asylum,PS3,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
Super Paper Mario,Wii,Nintendo,1.98,0.88,0.59,0.32,3.76
The Witcher 3: Wild Hunt,PS4,Namco Bandai Games,0.96,2,0.21,0.56,3.73
Batman: Arkham Asylum,X360,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
LEGO Batman: The Videogame,X360,Warner Bros. Interactive Entertainment,2.03,1.03,0,0.32,3.38
The Lord of the Rings: The Return of the King,PS2,Electronic Arts,1.5,1.28,0.05,0.46,3.28
LEGO Batman: The Videogame,Wii,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17
LEGO Batman: The Videogame,DS,Warner Bros. Interactive Entertainment,1.79,1.06,0,0.29,3.15
Mass Effect 3,X360,Electronic Arts,1.94,0.86,0.03,0.24,3.07
Tom Clancy's Splinter Cell,XB,Ubisoft,1.85,1.04,0,0.13,3.02
Monster Hunter Tri,3DS,Nintendo,0.46,0.29,1.96,0.07,2.79
Onimusha: Warlords,PS2,Virgin Interactive,0.99,0.48,1.09,0.14,2.7
Tom Clancy's Splinter Cell,PS2,Ubisoft,1.15,1.11,0,0.4,2.65
Harry Potter and the Chamber of Secrets,PS2,Electronic Arts,0.9,1.22,0.04,0.44,2.61
Monster Hunter Freedom 2,PSP,Capcom,0.37,0.27,1.75,0.18,2.58
Marvel: Ultimate Alliance,X360,Activision,2.29,0.02,0,0.19,2.5
Bloodborne,PS4,Sony Computer Entertainment,1,0.76,0.26,0.36,2.38
Kinect Sports: Season Two,X360,Microsoft Game Studios,1.38,0.74,0.02,0.22,2.36
James Bond 007: Everything or Nothing,PS2,Electronic Arts,0.85,1.06,0.09,0.32,2.31
Onimusha 2: Samurai's Destiny,PS2,Capcom,0.62,0.44,1.06,0.13,2.25
Monster Hunter Tri,Wii,Nintendo,0.67,0.41,1.05,0.11,2.25
Mario Sports Mix,Wii,Nintendo,0.9,0.45,0.63,0.13,2.11
Parasite Eve,PS,SquareSoft,0.94,0.07,1.05,0.04,2.1
Metal Gear Solid: Peace Walker,PSP,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09
Kingdom Hearts: Birth by Sleep,PSP,Square Enix,0.63,0.42,0.75,0.26,2.07
Harry Potter and the Chamber of Secrets,GBA,Electronic Arts,1.21,0.64,0.05,0.09,1.99
Tenchu: Stealth Assassins,PS,Activision,0.95,0.64,0.27,0.13,1.99
Harry Potter and the Chamber of Secrets,PS,Electronic Arts,0.75,1.09,0.02,0.12,1.98
Star Fox Adventures,GC,Nintendo,0.96,0.53,0.3,0.09,1.87
Dragon's Dogma,PS3,Capcom,0.41,0.46,0.72,0.19,1.78
The Getaway: Black Monday,PS2,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78
Disney Infinity,Wii,Disney Interactive Studios,1.15,0.44,0,0.14,1.73
Big Beach Sports,Wii,THQ,0.45,1.02,0,0.2,1.67
Ms. Pac-Man,2600,Atari,1.54,0.1,0,0.02,1.65
Dig Dug,2600,Atari,1.52,0.1,0,0.02,1.64
Star Wars: The Force Unleashed II,PS3,LucasArts,0.8,0.53,0,0.22,1.55
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Ubisoft,0.82,0.59,0,0.07,1.48
Dirge of Cerberus: Final Fantasy VII,PS2,Square Enix,0.47,0.37,0.52,0.12,1.48
Star Wars: The Force Unleashed II,X360,LucasArts,0.95,0.4,0,0.12,1.47
Metal Gear Rising: Revengeance,PS3,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
Mass Effect 3,PS3,Electronic Arts,0.63,0.59,0.03,0.21,1.46
Onimusha 3: Demon Siege,PS2,Capcom,0.37,0.47,0.54,0.07,1.45
Disney Infinity,X360,Disney Interactive Studios,0.96,0.37,0,0.11,1.43
Deus Ex: Human Revolution,PS3,Square Enix,0.5,0.6,0.07,0.23,1.39
Deus Ex: Human Revolution,X360,Square Enix,0.76,0.48,0.02,0.12,1.39
LEGO Harry Potter: Years 5-7,Wii,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36
The Simpsons: Hit & Run,XB,Vivendi Games,0.7,0.58,0,0.07,1.35
Pokemon Ranger: Guardian Signs,DS,Nintendo,0.51,0.17,0.58,0.06,1.33
Dark Souls II,PS3,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32
LEGO Batman: The Videogame,PS3,Warner Bros. Interactive Entertainment,0.72,0.42,0,0.19,1.32
LEGO Batman: The Videogame,PSP,Warner Bros. Interactive Entertainment,0.57,0.46,0,0.28,1.32
EA Playground,Wii,Electronic Arts,0.69,0.48,0,0.13,1.3
Kid Icarus: Uprising,3DS,Nintendo,0.48,0.35,0.36,0.07,1.28
Manhunt,PS2,Take-Two Interactive,0.63,0.49,0,0.16,1.28
.hack//Infection Part 1,PS2,Atari,0.49,0.38,0.26,0.13,1.27
LEGO Batman: The Videogame,PS2,Warner Bros. Interactive Entertainment,0.72,0.03,0,0.52,1.27
LEGO The Lord of the Rings,X360,Warner Bros. Interactive Entertainment,0.63,0.51,0,0.11,1.26
Lara Croft Tomb Raider: The Angel of Darkness,PS2,Eidos Interactive,0.61,0.48,0,0.16,1.25
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,Ubisoft,0.52,0.56,0,0.17,1.25
Baldur's Gate: Dark Alliance,PS2,Virgin Interactive,0.61,0.48,0,0.16,1.24
Tales of Xillia,PS3,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24
The Witcher 3: Wild Hunt,XOne,Namco Bandai Games,0.66,0.47,0,0.11,1.24
Pac-Man,NES,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
Captain Toad: Treasure Tracker,WiiU,Nintendo,0.56,0.36,0.19,0.09,1.19
Mirror's Edge,X360,Electronic Arts,0.51,0.51,0.01,0.13,1.17
Mirror's Edge,PS3,Electronic Arts,0.31,0.59,0.02,0.22,1.14
Rabbids Go Home,Wii,Ubisoft,0.26,0.75,0,0.14,1.14
The Lord of the Rings: The Return of the King,XB,Electronic Arts,0.71,0.38,0,0.05,1.14
Fantasy Life,3DS,Nintendo,0.33,0.37,0.37,0.06,1.13
Castlevania: Lords of Shadow,PS3,Konami Digital Entertainment,0.5,0.37,0.1,0.16,1.12
Lode Runner,NES,Hudson Soft,0,0,1.1,0,1.1
LEGO The Lord of the Rings,PS3,Warner Bros. Interactive Entertainment,0.36,0.53,0,0.21,1.1
Tales of Symphonia,GC,Nintendo,0.54,0.21,0.31,0.04,1.1
Dragon Ball Z: The Legacy of Goku II,GBA,Atari,0.78,0.29,0,0.02,1.09
MySims Agents,DS,Electronic Arts,0.55,0.43,0,0.11,1.08
Prince of Persia,PS3,Ubisoft,0.47,0.41,0.03,0.18,1.08
Disney Universe,Wii,Disney Interactive Studios,0.67,0.3,0,0.1,1.07
Diablo II: Lord of Destruction,PC,Vivendi Games,1.03,0.02,0,0,1.06
MySims Agents,Wii,Electronic Arts,0.62,0.32,0,0.1,1.05
Legacy of Kain: Soul Reaver,PS,Eidos Interactive,0.58,0.4,0,0.07,1.04
Ninja Gaiden II,X360,Tecmo Koei,0.65,0.22,0.05,0.1,1.01
Prince of Persia,X360,Ubisoft,0.54,0.35,0.02,0.1,1.01
Disney Infinity,PS3,Disney Interactive Studios,0.48,0.35,0,0.16,1