"sale_id","game_id","platform_id","publisher_id","na_sales","eu_sales","jp_sales","other_sales","global_sales","created_at"
161,1,2,14,"7.28","0.45","0","0.08","7.81","2025-05-04 16:28:08.174447"
163,2,13,18,"3.92","1.78","0.03","0.51","6.24","2025-05-04 16:28:08.174447"
164,3,4,9,"3.18","1.83","0.78","0.24","6.03","2025-05-04 16:28:08.174447"
165,4,1,6,"0.47","0.57","4.13","0.34","5.5","2025-05-04 16:28:08.174447"
166,5,10,7,"1.73","2.19","0","0.79","4.7","2025-05-04 16:28:08.174447"
168,6,3,20,"2.23","1.34","0.07","0.61","4.25","2025-05-04 16:28:08.174447"
170,7,12,17,"1.98","0.88","0.59","0.32","3.76","2025-05-04 16:28:08.174447"
171,8,5,21,"0.96","2","0.21","0.56","3.73","2025-05-04 16:28:08.174447"
169,9,3,20,"2.23","1.34","0.07","0.61","4.25","2025-05-04 16:28:08.174447"
173,10,13,11,"2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
179,11,10,8,"1.5","1.28","0.05","0.46","3.28","2025-05-04 16:28:08.174447"
174,12,13,11,"2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
175,13,13,11,"2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
181,14,13,8,"1.94","0.86","0.03","0.24","3.07","2025-05-04 16:28:08.174447"
183,15,7,13,"1.85","1.04","0","0.13","3.02","2025-05-04 16:28:08.174447"
185,16,8,17,"0.46","0.29","1.96","0.07","2.79","2025-05-04 16:28:08.174447"
187,17,10,19,"0.99","0.48","1.09","0.14","2.7","2025-05-04 16:28:08.174447"
184,18,7,13,"1.85","1.04","0","0.13","3.02","2025-05-04 16:28:08.174447"
188,19,10,8,"0.9","1.22","0.04","0.44","2.61","2025-05-04 16:28:08.174447"
191,20,1,6,"0.37","0.27","1.75","0.18","2.58","2025-05-04 16:28:08.174447"
192,21,13,10,"2.29","0.02","0","0.19","2.5","2025-05-04 16:28:08.174447"
193,22,5,16,"1","0.76","0.26","0.36","2.38","2025-05-04 16:28:08.174447"
194,23,13,18,"1.38","0.74","0.02","0.22","2.36","2025-05-04 16:28:08.174447"
195,24,10,8,"0.85","1.06","0.09","0.32","2.31","2025-05-04 16:28:08.174447"
196,25,10,6,"0.62","0.44","1.06","0.13","2.25","2025-05-04 16:28:08.174447"
186,26,8,17,"0.46","0.29","1.96","0.07","2.79","2025-05-04 16:28:08.174447"
197,27,12,17,"0.9","0.45","0.63","0.13","2.11","2025-05-04 16:28:08.174447"
198,28,4,22,"0.94","0.07","1.05","0.04","2.1","2025-05-04 16:28:08.174447"
199,29,1,9,"0.46","0.42","0.96","0.25","2.09","2025-05-04 16:28:08.174447"
200,30,1,3,"0.63","0.42","0.75","0.26","2.07","2025-05-04 16:28:08.174447"
189,31,10,8,"0.9","1.22","0.04","0.44","2.61","2025-05-04 16:28:08.174447"
201,32,4,10,"0.95","0.64","0.27","0.13","1.99","2025-05-04 16:28:08.174447"
190,33,10,8,"0.9","1.22","0.04","0.44","2.61","2025-05-04 16:28:08.174447"
202,34,14,17,"0.96","0.53","0.3","0.09","1.87","2025-05-04 16:28:08.174447"
203,35,3,6,"0.41","0.46","0.72","0.19","1.78","2025-05-04 16:28:08.174447"
204,36,10,16,"0.39","1.01","0.02","0.36","1.78","2025-05-04 16:28:08.174447"
205,37,12,2,"1.15","0.44","0","0.14","1.73","2025-05-04 16:28:08.174447"
208,38,12,12,"0.45","1.02","0","0.2","1.67","2025-05-04 16:28:08.174447"
209,39,2,14,"1.54","0.1","0","0.02","1.65","2025-05-04 16:28:08.174447"
210,40,2,14,"1.52","0.1","0","0.02","1.64","2025-05-04 16:28:08.174447"
211,41,3,5,"0.8","0.53","0","0.22","1.55","2025-05-04 16:28:08.174447"
213,42,7,13,"0.82","0.59","0","0.07","1.48","2025-05-04 16:28:08.174447"
215,43,10,3,"0.47","0.37","0.52","0.12","1.48","2025-05-04 16:28:08.174447"
212,44,3,5,"0.8","0.53","0","0.22","1.55","2025-05-04 16:28:08.174447"
216,45,3,9,"0.45","0.4","0.44","0.18","1.47","2025-05-04 16:28:08.174447"
182,46,13,8,"1.94","0.86","0.03","0.24","3.07","2025-05-04 16:28:08.174447"
217,47,10,6,"0.37","0.47","0.54","0.07","1.45","2025-05-04 16:28:08.174447"
206,48,12,2,"1.15","0.44","0","0.14","1.73","2025-05-04 16:28:08.174447"
218,49,3,3,"0.5","0.6","0.07","0.23","1.39","2025-05-04 16:28:08.174447"
219,50,3,3,"0.5","0.6","0.07","0.23","1.39","2025-05-04 16:28:08.174447"
220,51,12,11,"0.76","0.47","0","0.13","1.36","2025-05-04 16:28:08.174447"
167,52,10,7,"1.73","2.19","0","0.79","4.7","2025-05-04 16:28:08.174447"
221,53,17,17,"0.51","0.17","0.58","0.06","1.33","2025-05-04 16:28:08.174447"
222,54,3,21,"0.4","0.36","0.4","0.17","1.32","2025-05-04 16:28:08.174447"
176,55,13,11,"2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
177,56,13,11,"2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
223,57,12,8,"0.69","0.48","0","0.13","1.3","2025-05-04 16:28:08.174447"
224,58,8,17,"0.48","0.35","0.36","0.07","1.28","2025-05-04 16:28:08.174447"
225,59,10,1,"0.63","0.49","0","0.16","1.28","2025-05-04 16:28:08.174447"
226,60,10,14,"0.49","0.38","0.26","0.13","1.27","2025-05-04 16:28:08.174447"
178,61,13,11,"2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
227,62,13,11,"0.63","0.51","0","0.11","1.26","2025-05-04 16:28:08.174447"
229,63,10,20,"0.61","0.48","0","0.16","1.25","2025-05-04 16:28:08.174447"
214,64,7,13,"0.82","0.59","0","0.07","1.48","2025-05-04 16:28:08.174447"
230,65,10,19,"0.61","0.48","0","0.16","1.24","2025-05-04 16:28:08.174447"
231,66,3,21,"0.29","0.19","0.67","0.09","1.24","2025-05-04 16:28:08.174447"
172,67,5,21,"0.96","2","0.21","0.56","3.73","2025-05-04 16:28:08.174447"
162,68,2,14,"7.28","0.45","0","0.08","7.81","2025-05-04 16:28:08.174447"
232,69,16,17,"0.56","0.36","0.19","0.09","1.19","2025-05-04 16:28:08.174447"
233,70,13,8,"0.51","0.51","0.01","0.13","1.17","2025-05-04 16:28:08.174447"
234,71,13,8,"0.51","0.51","0.01","0.13","1.17","2025-05-04 16:28:08.174447"
235,72,12,13,"0.26","0.75","0","0.14","1.14","2025-05-04 16:28:08.174447"
180,73,10,8,"1.5","1.28","0.05","0.46","3.28","2025-05-04 16:28:08.174447"
236,74,8,17,"0.33","0.37","0.37","0.06","1.13","2025-05-04 16:28:08.174447"
237,75,3,9,"0.5","0.37","0.1","0.16","1.12","2025-05-04 16:28:08.174447"
238,76,11,4,"0","0","1.1","0","1.1","2025-05-04 16:28:08.174447"
228,77,13,11,"0.63","0.51","0","0.11","1.26","2025-05-04 16:28:08.174447"
239,78,14,17,"0.54","0.21","0.31","0.04","1.1","2025-05-04 16:28:08.174447"
240,79,6,14,"0.78","0.29","0","0.02","1.09","2025-05-04 16:28:08.174447"
241,80,17,8,"0.55","0.43","0","0.11","1.08","2025-05-04 16:28:08.174447"
243,81,3,13,"0.47","0.41","0.03","0.18","1.08","2025-05-04 16:28:08.174447"
245,82,12,2,"0.67","0.3","0","0.1","1.07","2025-05-04 16:28:08.174447"
246,83,15,7,"1.03","0.02","0","0","1.06","2025-05-04 16:28:08.174447"
242,84,17,8,"0.55","0.43","0","0.11","1.08","2025-05-04 16:28:08.174447"
247,85,4,20,"0.58","0.4","0","0.07","1.04","2025-05-04 16:28:08.174447"
248,86,13,15,"0.65","0.22","0.05","0.1","1.01","2025-05-04 16:28:08.174447"
244,87,3,13,"0.47","0.41","0.03","0.18","1.08","2025-05-04 16:28:08.174447"
207,88,12,2,"1.15","0.44","0","0.14","1.73","2025-05-04 16:28:08.174447"
